id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
19694,19694,19694,2008/2009,1,9-Aug-08,489981,8596,8548,0,1,6.5,4,1.5,6,3.9,1.45,5,3.7,1.5,6.5,3.6,1.44,6,3.75,1.44,6.5,3.75,1.45
19696,19694,19694,2008/2009,1,9-Aug-08,489983,8597,10251,1,0,2.4,3.2,2.62,2.55,3.25,2.45,2.5,3.1,2.4,2.38,3.2,2.6,2.5,3.1,2.5,2.4,3.2,2.6
4776,4769,4769,2008/2009,1,9-Aug-08,483136,9851,8592,4,4,2.7,3,2.8,2.85,3.1,2.35,2.6,3,2.6,2.6,2.8,2.6,2.6,2.8,2.6,2.65,2.9,2.65
4774,4769,4769,2008/2009,1,9-Aug-08,483134,9829,9847,1,0,2.4,3.1,3.1,2.4,3.1,2.75,2.3,2.9,3,2.25,3,2.87,2.3,2.9,2.9,2.25,3,3
4778,4769,4769,2008/2009,1,9-Aug-08,483138,9873,9853,1,0,2.4,3.1,3.1,2.5,2.95,2.75,2.3,2.8,3.1,2.37,2.8,2.87,2.38,2.8,2.88,2.25,2.9,3.1
19695,19694,19694,2008/2009,1,9-Aug-08,489982,9860,9927,3,2,2,3.25,3.25,2,3.25,3.3,2.2,3.1,2.8,2.1,3.2,3,1.91,3.2,3.5,2.1,3.25,3.1
4771,4769,4769,2008/2009,1,9-Aug-08,483131,9746,9831,1,0,2.3,3,3.4,2.4,2.95,2.9,2.3,2.8,3.1,2.37,2.8,2.87,2.3,2.8,3,2.3,2.9,3
4775,4769,4769,2008/2009,1,9-Aug-08,483135,8481,8639,0,0,2.15,3.1,3.6,2.25,3,3.1,2.2,2.9,3.2,2.1,3,3.2,2.15,2.88,3.25,2.1,3,3.3
4769,4769,4769,2008/2009,1,9-Aug-08,483129,8583,9830,2,1,2.1,3.1,3.75,2.05,3,3.55,2,3,3.6,2.1,3,3.2,2.1,2.88,3.3,2,2.9,3.75
4772,4769,4769,2008/2009,1,9-Aug-08,483132,8682,8689,0,1,2.1,3.1,3.8,1.95,3.1,3.75,1.9,3,4,2,3,3.5,2,3,3.4,2,2.9,3.75
19697,19694,19694,2008/2009,1,9-Aug-08,489984,8485,8066,0,2,1.73,3.4,4.2,1.65,3.5,4.5,1.65,3.3,4.4,1.73,3.2,4.33,1.67,3.4,4.33,1.65,3.4,4.5
4777,4769,4769,2008/2009,1,9-Aug-08,483137,9874,9855,1,2,1.91,3.2,4.33,1.8,3.1,4.5,1.85,3,4.2,1.83,3,4,1.8,3,4.2,1.85,3.1,4.2
4770,4769,4769,2008/2009,1,9-Aug-08,483130,9827,7819,2,1,1.57,3.6,6.5,1.55,3.35,6.25,1.5,3.5,6.3,1.53,3.25,6,1.53,3.3,6,1.6,3.3,5.5
4773,4769,4769,2008/2009,1,10-Aug-08,483133,9748,9941,3,0,1.33,4.5,11,1.35,4,8.85,1.4,3.7,7.5,1.33,4,8,1.36,3.75,8,1.3,4,10
19698,19694,19694,2008/2009,1,10-Aug-08,489985,9925,9800,1,0,1.17,6.5,17,1.15,6.5,12,1.15,6,12,1.17,5.5,12,1.14,5.5,15,1.14,6,15
19699,19694,19694,2008/2009,1,11-Aug-08,489986,8429,9938,3,1,3.6,3.25,2.1,2.8,3.25,2.25,3,3.1,2.1,2.75,3.25,2.2,3,3.2,2.1,3,3.2,2.2
7809,7809,7809,2008/2009,1,15-Aug-08,499317,9823,9790,2,2,1.57,3.8,6,1.55,3.7,5.45,1.6,3.6,4.8,1.53,3.5,5.5,1.53,3.5,5.5,1.55,3.5,5.5
5,1,1,2008/2009,1,16-Aug-08,492477,7947,9985,1,3,5,3.5,1.65,5,3.5,1.6,4,3.3,1.7,4,3.4,1.72,4.2,3.4,1.7,4.5,3.4,1.65
1731,1729,1729,2008/2009,1,16-Aug-08,489044,8472,8650,0,1,5.5,3.6,1.67,5,3.35,1.67,4.5,3.5,1.65,4.5,3.3,1.67,5.5,3.3,1.57,5.5,3.8,1.65
7814,7809,7809,2008/2009,1,16-Aug-08,499322,9912,8697,2,2,4.5,3.5,1.8,4,3.4,1.8,3.6,3.2,1.9,3.75,3.3,1.8,4.2,3.25,1.73,4,3.25,1.8
8,1,1,2008/2009,1,16-Aug-08,492480,4049,9996,1,2,3.2,3.4,2.2,2.55,3.3,2.4,2.4,3.2,2.4,2.5,3.2,2.5,2.7,3.25,2.25,2.8,3.25,2.25
1735,1729,1729,2008/2009,1,16-Aug-08,489048,8549,8586,2,1,3.2,3.4,2.25,2.8,3.2,2.3,2.9,3.2,2.2,2.8,3.2,2.2,2.9,3.2,2.15,3.2,3.4,2.3
3,1,1,2008/2009,1,16-Aug-08,492475,9984,8635,0,3,2.38,3.3,2.75,2.4,3.3,2.55,2.6,3.1,2.3,2.5,3.2,2.5,2.5,3.25,2.4,2.35,3.25,2.65
1737,1729,1729,2008/2009,1,16-Aug-08,489050,8667,9879,2,1,2.6,3.2,2.8,2.45,3.15,2.65,2.4,3.2,2.6,2.4,3.25,2.5,2.5,2.9,2.62,2.6,3.4,2.8
9,1,1,2008/2009,1,16-Aug-08,492481,10001,9986,1,0,2.25,3.25,2.88,2.3,3.25,2.7,2.1,3.1,3,2.25,3.2,2.75,2.2,3.25,2.75,2.25,3.25,2.8
