season,fthg,ftag,odd_h,odd_d,odd_a,target
2012,3,1,1.56,4.41,7.42,12
2012,2,2,2.36,3.6,3.4,10
2012,2,0,1.83,4.2,4.8,12
2012,0,1,1.55,4.5,9.4,9
2012,1,0,2.5,3.4,3.45,11
2012,0,1,2.06,3.75,3.95,9
2012,2,2,2.29,3.25,3.85,10
2012,0,2,2.8,3.1,3.05,8
2012,1,3,4.5,3.55,2,8
2012,0,3,3,3.8,2.54,7
2012,1,1,3.66,3.5,2.42,10
2012,3,1,2.12,3.3,4.44,12
2012,3,0,2.31,3.8,3.27,13
2012,2,1,2.43,3.75,3.4,11
2012,2,2,1.5,4.4,9,10
2012,1,2,1.82,3.65,5.5,9
2012,1,5,3.35,3.27,2.5,6
2012,2,0,3.45,3.4,2.5,12
2012,0,1,1.24,7.4,15,9
2012,0,0,1.95,3.65,4.51,10
2012,0,0,3.6,3.55,2.25,10
2012,0,4,2.2,3.35,4.09,6
2012,1,2,2,3.4,4.7,9
2012,5,1,1.67,4.2,6.14,14
2012,1,1,1.3,5.8,14.58,10
2012,1,0,4.9,3.8,1.88,11
2012,1,1,2.5,3.52,3.15,10
2012,1,0,2.25,3.2,3.95,11
2012,1,2,1.97,3.9,4.2,9
2012,1,2,3,3.52,2.6,9
2012,1,1,1.45,4.75,10,10
2012,1,1,2.6,3.27,3.25,10
2012,1,2,2.58,3.25,3.25,9
2012,2,2,2.12,3.6,3.98,10
2012,1,1,2.94,3.65,2.6,10
2012,1,1,2.66,3.25,3.1,10
2012,0,0,1.99,3.4,4.9,10
2012,2,0,1.68,3.8,7,12
2012,0,1,4.7,3.79,1.95,9
2012,0,1,1.6,4,8.19,9
2012,1,2,6.2,4,1.69,9
2012,2,2,3.95,3.31,2.24,10
2012,1,0,2.31,3.26,3.75,11
2012,1,0,1.91,4,4.3,11
2012,1,1,1.94,3.65,4.65,10
2012,0,0,4.4,3.5,2.04,10
2012,4,0,1.46,4.75,10,14
2012,4,1,2.88,3.6,2.64,13
2012,1,1,3,3.65,2.54,10
2012,2,1,1.31,6,13.55,11
2012,2,0,1.36,5.6,10.9,12
2012,1,1,4,3.3,2.24,10
2012,0,2,3.11,3.6,2.44,8
2012,0,2,2.37,3.4,3.45,8
2012,3,1,1.69,3.8,6.6,12
2012,0,1,2.31,3.7,3.3,9
2012,0,0,2.04,3.65,4.2,10
2012,5,0,1.26,6.6,16.5,15
2012,1,1,2.6,3.3,3.26,10
2012,0,1,1.46,4.59,9.6,9
2012,5,3,1.63,4.3,6.2,12
2012,2,0,2.88,3.28,2.9,12
2012,1,2,4.3,3.36,2.1,9
2012,1,1,1.89,3.45,5.4,10
2012,0,1,2.54,3.2,3.4,9
2012,1,1,3.1,3.1,2.78,10
2012,4,0,2.4,3.2,4,14
2012,2,0,2.76,3.3,2.92,12
2012,1,2,2.24,3.35,3.9,9
2012,2,1,1.67,4,7.5,11
2012,0,0,1.6,4.09,7.8,10
2012,1,1,2.31,3.7,3.3,10
2012,1,1,2.94,3.35,2.74,10
2012,2,3,4.9,3.9,1.85,9
2012,2,4,2.46,3.68,3.15,8
2012,3,0,1.61,4.5,6.2,13
2012,1,0,2.4,3.55,3.3,11
2012,2,1,1.72,3.7,6.4,11
2012,2,0,2.15,3.5,4.2,12
2012,3,0,2.75,3.7,2.79,13
2012,1,2,2.65,3.14,3.35,9
2012,1,2,2.08,3.5,4.2,9
2012,1,2,2.36,3.7,3.25,9
2012,3,1,1.2,8,23,12
2012,0,3,7.6,4.7,1.52,7
2012,0,0,3.4,3.65,2.29,10
2012,4,3,1.41,5.2,9.8,11
2012,0,1,3.36,3.35,2.48,9
2012,1,0,1.76,4.01,5.45,11
2012,2,1,2.06,3.35,4.5,11
2012,3,4,1.75,4.51,5.2,9
2012,0,1,2.76,3.4,2.88,9
2012,0,1,1.88,3.65,5.14,9
2012,0,0,2.2,3.2,4.22,10
2012,3,1,1.4,5.3,10,12
2012,0,0,2.14,3.4,4.09,10
2012,4,1,1.84,3.55,6.05,13
2012,0,0,2.45,3.5,3.31,10
2012,1,1,2.39,3.5,3.4,10
2012,2,1,2.72,3.2,3.13,11
2012,1,0,1.75,4,5.4,11
2012,8,2,1.4,5.5,9.19,16
2012,0,6,12.33,6.2,1.3,4
2012,2,1,2.36,3.25,3.65,11
2012,1,3,3.1,3.3,2.6,8
2012,3,2,1.83,3.4,6,11
2012,0,1,2.4,3.4,3.4,9
2012,1,5,3.15,3.48,2.54,6
2012,2,1,2.24,3.65,3.53,11
2012,1,1,1.64,4,6.8,10
2012,1,1,2.16,3.4,4.2,10
2012,3,2,2.24,3.3,3.95,11
2012,0,0,1.82,3.7,5.5,10
2012,1,0,2.27,3.4,3.8,11
2012,5,0,1.18,8.8,21,15
2012,1,4,4.34,3.65,2,7
2012,2,2,1.64,3.85,7.4,10
2012,0,2,2.8,3.64,2.74,8
2012,1,0,1.83,3.9,5,11
2012,1,2,5.65,3.55,1.84,9
2012,1,0,1.97,3.95,4.09,11
2012,4,2,1.09,14.2,37.6,12
2012,1,3,3.65,3.15,2.44,8
2012,0,1,2.64,3.13,3.25,9
2012,1,1,2.54,3.19,3.4,10
2012,0,5,9.41,5.5,1.39,5
2012,1,2,1.45,4.9,9.19,9
2012,3,1,3.31,3,2.76,12
2012,0,1,1.7,3.9,6.99,9
2012,7,0,1.18,9.6,19,17
2012,2,2,2.54,3.6,3.26,10
